text,label,id,y_true,pred_classical,pred_bert,pred_hybrid,classical_correct,bert_correct,hybrid_correct
"@dinosaurgrgrgr ПО ДЖАКУРАМАМ ЭТО ПАБЛИК НАРОЧАН, А МОЁ ЭТО ПРОСТО ПО ДЖАКУРАЮ 👉👈",neutral,1283877788198608897,neutral,neutral,negative,neutral,True,False,True
@OvvCheck у меня. ⚰️,neutral,1288500200613597184,neutral,neutral,positive,neutral,True,False,True
@wCZLmLwTtbDokr5 Это какой-то пипец))),negative,1322575317702246402,negative,negative,positive,negative,True,False,True
@douknowwhou это буквально ты мучача https://t.co/Q9RlFnERYn,neutral,1285565043476750336,neutral,neutral,negative,neutral,True,False,True
@keter_eles Я тоже 😂✌🏻,neutral,1265998711768920064,neutral,neutral,positive,neutral,True,False,True
«СМУ-6 Инвестиции»: Успей купить – последние квартиры в ЖК «Любовь и Голуби»: Реализация проекта «Любовь и Голуби» вышла на «финишную…,neutral,1212299931064700928,neutral,neutral,positive,neutral,True,False,True
@lostgalaxy8 Если что мне не сложно 👀,neutral,1236193664579366912,neutral,neutral,negative,neutral,True,False,True
"Помогите выбрать лучшего игрока в октябре! Голосуйте по ссылке ⚡️

https://t.co/cvvsUxzwhW https://t.co/JJ2dLlSNxP",neutral,1321073303910494208,neutral,neutral,positive,neutral,True,False,True
"@EKriskevich 17 лет, лучшие годы сейчас, не понимаю этой романтики по ностальгии",neutral,1223268480620863488,neutral,neutral,positive,neutral,True,False,True
@AngelNeo4 Нет я софт😔,neutral,1343226090916110339,neutral,neutral,positive,neutral,True,False,True
"Вроде бы классно не заходить в соц.сети подолгу, но так лень потом читать и перечитывать что было в ленте",neutral,1223022149126017024,neutral,neutral,negative,neutral,True,False,True
"@meh_seven Мы никогда не найдем ответ на этот вопрос...
...ПОТОМУ ЧТО ЭТО ОТ НАЧАЛА ДО КОНЦА НАГЛАЯ ЛОЖЬ!",negative,1270763126561087489,negative,negative,neutral,negative,True,False,True
@_toorushka_ хей 😼,neutral,1335950294656708609,neutral,neutral,positive,neutral,True,False,True
