text,label,id,y_true,pred_classical,pred_bert,pred_hybrid,classical_correct,bert_correct,hybrid_correct,group,error_reason,comment
(пушка на Караульной горе больше не стреляет БА-БАХ!!) #красноярск,negative,1342696727808274432,negative,neutral,negative,negative,False,True,True,only_classical_wrong,неявно выраженная эмоциональная окраска,Негатив передан через описание события («больше не стреляет») без сильных оценочных слов; classical-модель восприняла текст как нейтральный.
"Ради теста воткнул в планшет SDR-приемник

Поймал ""Наше радио""

Вернул себе 2006й",neutral,1269916816664641543,neutral,positive,neutral,neutral,False,True,True,only_classical_wrong,неоднозначный контекст,Техническое описание с ностальгическим оттенком («Вернул себе 2006й») могло быть ошибочно интерпретировано как позитив.
"@Oleg_Ilchenko Как можно было выходить за муж за человека, не глянув как его зовут в Твитере до свадьбы",neutral,1335474555725508608,neutral,positive,neutral,neutral,False,True,True,only_classical_wrong,неоднозначный контекст,"Вопросительная конструкция звучит оценочно, но без явной позитивной/негативной эмоции; модель могла принять обсуждение за позитивную реакцию."
"@CulturalBaby ого они реально упомянули эспу
спасибо большое за перевод ты большая умничка🧡",positive,1330920707627347968,positive,negative,positive,positive,False,True,True,only_classical_wrong,сленг / нестандартное написание,"Позитив выражен разговорно через «ого», благодарность и эмодзи; classical-модель не распознала эти маркеры как положительные."
от красных носков неприятно несёт гетеронормативностью,negative,1317695224035090432,negative,neutral,negative,negative,False,True,True,only_classical_wrong,неявно выраженная эмоциональная окраска,Негатив выражен метафорически и через редкую лексику; отсутствуют типичные простые негативные маркеры.
"сначала арт для фавочки
потом арт с Сонхва

ту продактив я уже умираю",negative,1291812761266200577,negative,neutral,negative,negative,False,True,True,only_classical_wrong,сленг / нестандартное написание,"Фанатская разговорная формулировка («ту продактив», «я уже умираю») передаёт усталость/перегруз, но может выглядеть нейтрально."
"ТВОЮ МАТЬ СЁДЗИ ЧЕ ТЫ ТВОРИШЬ
АААААааАаАаАаАа
#нана #аниме #тупыемужики",negative,1315016389191757827,negative,positive,negative,negative,False,True,True,only_classical_wrong,сленг / нестандартное написание,"Эмоция выражена капсом, обсценной лексикой и фандомным контекстом; модель могла спутать экспрессивность с позитивным возбуждением."
"@GONEFLUDD132 Скорейшего выздоровления и привет от овсянки, там уже пост наделали)",positive,1327340395181846531,positive,neutral,positive,positive,False,True,True,only_classical_wrong,неявно выраженная эмоциональная окраска,"Позитивный смысл связан с пожеланием выздоровления и дружелюбным приветствием, но без сильных позитивных слов."
Для закона многие плоды запретные https://t.co/Y6xf0xMxM2,neutral,1236882566415876096,neutral,negative,neutral,neutral,False,True,True,only_classical_wrong,неоднозначный контекст,"Фраза выглядит как афоризм/заголовок, а слово «запретные» могло дать ложный негативный сигнал."
"@downsolow13 Лучший сонный пельмешек, раз уж на то пошло)",positive,1314477555353899008,positive,neutral,positive,positive,False,True,True,only_classical_wrong,сленг / нестандартное написание,"Позитив выражен ласковым разговорным обращением («сонный пельмешек»), которое classical-модель могла не распознать."
"@yunhoough а я угрожаю откусить печень, насть все нормально 🤝",negative,1268876524410810368,negative,neutral,negative,negative,False,True,True,only_classical_wrong,сарказм / ирония,"Фраза содержит шутливую угрозу; негативная окраска выражена иронично, поэтому модель могла воспринять её как нейтральный диалог."
"@KoshavilM оо, а как назывался? я в детстве обожала такие истории, даже не сказать, сколько перечитала))",positive,1273980447106752514,positive,negative,positive,positive,False,True,True,only_classical_wrong,неоднозначный контекст,"Есть позитивный маркер «обожала», но текст оформлен как вопрос и воспоминание, что могло запутать classical-модель."
она победила,positive,1319264036362530816,positive,neutral,positive,positive,False,True,True,only_classical_wrong,недостаточный контекст из-за краткости текста,Очень короткое сообщение; позитивность слова «победила» без контекста может быть недостаточно очевидной.
@prostolapysya @AyupovRustam Я думаю после муравейника ему будет не до извращений,negative,1233039438944620545,negative,neutral,negative,negative,False,True,True,only_classical_wrong,неявно выраженная эмоциональная окраска,"Негативный смысл передан косвенно через намёк и слово «извращений», но конструкция зависит от контекста диалога."
"@grunyasb @antoxatoxa0608 Теперь полиция буде отстанавливать и проверять маски. Не купил у Чемезова- штраф!!!Поперло, так поперло!!!",negative,1247725177820950528,negative,neutral,negative,negative,False,True,True,only_classical_wrong,сарказм / ирония,Негатив выражен саркастическим комментарием о штрафах и полиции; без распознавания иронии текст может выглядеть описательным.
"@dinosaurgrgrgr ПО ДЖАКУРАМАМ ЭТО ПАБЛИК НАРОЧАН, А МОЁ ЭТО ПРОСТО ПО ДЖАКУРАЮ 👉👈",neutral,1283877788198608897,neutral,neutral,negative,neutral,True,False,True,only_bert_wrong,сленг / нестандартное написание,"Фандомный жаргон, капс и внутренняя ссылка на персонажей делают нейтральный смысл трудно интерпретируемым для BERT."
@OvvCheck у меня. ⚰️,neutral,1288500200613597184,neutral,neutral,positive,neutral,True,False,True,only_bert_wrong,недостаточный контекст из-за краткости текста,"Текст предельно короткий, а эмодзи гроба может быть эмоциональным сигналом; без контекста класс определить сложно."
@wCZLmLwTtbDokr5 Это какой-то пипец))),negative,1322575317702246402,negative,negative,positive,negative,True,False,True,only_bert_wrong,смешанная эмоциональная окраска,"Негативное слово «пипец» сопровождается смеющимися скобками, из-за чего BERT мог интерпретировать фразу как позитивную реакцию."
@douknowwhou это буквально ты мучача https://t.co/Q9RlFnERYn,neutral,1285565043476750336,neutral,neutral,negative,neutral,True,False,True,only_bert_wrong,сленг / нестандартное написание,Разговорная фраза и мемное обращение («мучача») могут быть ошибочно связаны с негативом из-за формы слова.
@keter_eles Я тоже 😂✌🏻,neutral,1265998711768920064,neutral,neutral,positive,neutral,True,False,True,only_bert_wrong,неоднозначный контекст,"Короткий ответ с эмодзи может выглядеть позитивным, хотя по разметке это нейтральная реплика."
