text,label,id,y_true,pred_classical,pred_bert,pred_hybrid,classical_correct,bert_correct,hybrid_correct,group,error_reason,comment
(пушка на Караульной горе больше не стреляет БА-БАХ!!) #красноярск,negative,1342696727808274432,negative,neutral,negative,negative,False,True,True,only_classical_wrong,,
"Ради теста воткнул в планшет SDR-приемник

Поймал ""Наше радио""

Вернул себе 2006й",neutral,1269916816664641543,neutral,positive,neutral,neutral,False,True,True,only_classical_wrong,,
"@Oleg_Ilchenko Как можно было выходить за муж за человека, не глянув как его зовут в Твитере до свадьбы",neutral,1335474555725508608,neutral,positive,neutral,neutral,False,True,True,only_classical_wrong,,
"@CulturalBaby ого они реально упомянули эспу
спасибо большое за перевод ты большая умничка🧡",positive,1330920707627347968,positive,negative,positive,positive,False,True,True,only_classical_wrong,,
от красных носков неприятно несёт гетеронормативностью,negative,1317695224035090432,negative,neutral,negative,negative,False,True,True,only_classical_wrong,,
"сначала арт для фавочки
потом арт с Сонхва

ту продактив я уже умираю",negative,1291812761266200577,negative,neutral,negative,negative,False,True,True,only_classical_wrong,,
"ТВОЮ МАТЬ СЁДЗИ ЧЕ ТЫ ТВОРИШЬ
АААААааАаАаАаАа
#нана #аниме #тупыемужики",negative,1315016389191757827,negative,positive,negative,negative,False,True,True,only_classical_wrong,,
"@GONEFLUDD132 Скорейшего выздоровления и привет от овсянки, там уже пост наделали)",positive,1327340395181846531,positive,neutral,positive,positive,False,True,True,only_classical_wrong,,
Для закона многие плоды запретные https://t.co/Y6xf0xMxM2,neutral,1236882566415876096,neutral,negative,neutral,neutral,False,True,True,only_classical_wrong,,
"@downsolow13 Лучший сонный пельмешек, раз уж на то пошло)",positive,1314477555353899008,positive,neutral,positive,positive,False,True,True,only_classical_wrong,,
"@yunhoough а я угрожаю откусить печень, насть все нормально 🤝",negative,1268876524410810368,negative,neutral,negative,negative,False,True,True,only_classical_wrong,,
"@KoshavilM оо, а как назывался? я в детстве обожала такие истории, даже не сказать, сколько перечитала))",positive,1273980447106752514,positive,negative,positive,positive,False,True,True,only_classical_wrong,,
она победила,positive,1319264036362530816,positive,neutral,positive,positive,False,True,True,only_classical_wrong,,
