text,label,id,y_true,pred_classical,pred_bert,pred_hybrid,classical_correct,bert_correct,hybrid_correct
(пушка на Караульной горе больше не стреляет БА-БАХ!!) #красноярск,negative,1342696727808274432,negative,neutral,negative,negative,False,True,True
"Ради теста воткнул в планшет SDR-приемник

Поймал ""Наше радио""

Вернул себе 2006й",neutral,1269916816664641543,neutral,positive,neutral,neutral,False,True,True
"@Oleg_Ilchenko Как можно было выходить за муж за человека, не глянув как его зовут в Твитере до свадьбы",neutral,1335474555725508608,neutral,positive,neutral,neutral,False,True,True
"@CulturalBaby ого они реально упомянули эспу
спасибо большое за перевод ты большая умничка🧡",positive,1330920707627347968,positive,negative,positive,positive,False,True,True
от красных носков неприятно несёт гетеронормативностью,negative,1317695224035090432,negative,neutral,negative,negative,False,True,True
"сначала арт для фавочки
потом арт с Сонхва

ту продактив я уже умираю",negative,1291812761266200577,negative,neutral,negative,negative,False,True,True
"ТВОЮ МАТЬ СЁДЗИ ЧЕ ТЫ ТВОРИШЬ
АААААааАаАаАаАа
#нана #аниме #тупыемужики",negative,1315016389191757827,negative,positive,negative,negative,False,True,True
"@GONEFLUDD132 Скорейшего выздоровления и привет от овсянки, там уже пост наделали)",positive,1327340395181846531,positive,neutral,positive,positive,False,True,True
Для закона многие плоды запретные https://t.co/Y6xf0xMxM2,neutral,1236882566415876096,neutral,negative,neutral,neutral,False,True,True
"@downsolow13 Лучший сонный пельмешек, раз уж на то пошло)",positive,1314477555353899008,positive,neutral,positive,positive,False,True,True
"@yunhoough а я угрожаю откусить печень, насть все нормально 🤝",negative,1268876524410810368,negative,neutral,negative,negative,False,True,True
"@KoshavilM оо, а как назывался? я в детстве обожала такие истории, даже не сказать, сколько перечитала))",positive,1273980447106752514,positive,negative,positive,positive,False,True,True
она победила,positive,1319264036362530816,positive,neutral,positive,positive,False,True,True
@prostolapysya @AyupovRustam Я думаю после муравейника ему будет не до извращений,negative,1233039438944620545,negative,neutral,negative,negative,False,True,True
"@grunyasb @antoxatoxa0608 Теперь полиция буде отстанавливать и проверять маски. Не купил у Чемезова- штраф!!!Поперло, так поперло!!!",negative,1247725177820950528,negative,neutral,negative,negative,False,True,True
@RT_russian молодцы),positive,1307688466130509824,positive,negative,positive,positive,False,True,True
@Vata_Vata_65 Это разминка),neutral,1250465509541400577,neutral,negative,neutral,neutral,False,True,True
"подписан на никсельпиксель, только чтобы когда она закроет акк сливать все ее твиты, поэтому моя лента - куча левого дерьма",negative,1267191454402842626,negative,neutral,negative,negative,False,True,True
@EmilEmrali эхх..кусочек бы щас🤤😋,positive,1322879421515206658,positive,neutral,positive,positive,False,True,True
"Я: *наконец-то выбралась из кучи дерьма, которое подкинула жизнь*

Жизнь: https://t.co/BTmJoxdMek",negative,1327626903910567936,negative,neutral,negative,negative,False,True,True
@tothemoonandfuk Я бы всю жизнь на твои уроки ходила 🥺,positive,1339875160770416641,positive,negative,positive,positive,False,True,True
@Kn_yzKovbas ковбаса на деревьях растет?,neutral,1318482616522297344,neutral,negative,neutral,neutral,False,True,True
@Maher_Traher @navalny У вас отдел оригинальности закрылся ?,neutral,1287852059035926528,neutral,negative,neutral,neutral,False,True,True
"@proseccogirl98 это я так твои фотографии смотрю, Анечка!",positive,1249814167701336064,positive,neutral,positive,positive,False,True,True
"Показала маме эскиз тату которое иду бить, она сказала я больная",negative,1303096584058613761,negative,neutral,negative,negative,False,True,True
@inkvizitoro Эээ... а какой она должна быть у государства?)),neutral,1240671209945169920,neutral,negative,neutral,neutral,False,True,True
я скоро отключу уведы от всех когда играю Я ПАЛЬЦЕМ НАЖИМАБ НА УВЕД И УХОЖУ ИЗ ИГРЫ,negative,1296184329123635201,negative,neutral,negative,negative,False,True,True
@da0zhang мне жаль,negative,1298010982082662407,negative,neutral,negative,negative,False,True,True
@skvoter 150 хватит,neutral,1310239756400447493,neutral,negative,neutral,neutral,False,True,True
@0Ohayou БОЖЕ ИЗВИНИИ,neutral,1340235036231151618,neutral,negative,neutral,neutral,False,True,True
