text,label,id,y_true,pred_classical,pred_bert,pred_hybrid,classical_correct,bert_correct,hybrid_correct
я считаю это мем года https://t.co/xoVKj5y8Mj,positive,1218052288964632576,positive,neutral,neutral,neutral,False,False,False
"ян русский на сотку все запятые где надо🤙🏻👍🏻👍🏻👍🏻👍🏻
я ещё сидел думал чо не так с этим твитом",positive,1212859589592539136,positive,neutral,neutral,neutral,False,False,False
@Oppocum09 У нас в столовке лудшая греча с мясом,positive,1342081746351902722,positive,neutral,neutral,neutral,False,False,False
@ineedanescap Волнуемся🤗,positive,1299341348181626882,positive,neutral,neutral,neutral,False,False,False
Вот и чудно.,positive,1278328476572037121,positive,neutral,negative,negative,False,False,False
"По словам разработчиков, эффективность российского препарата выше 80%.",positive,1271081922987425793,positive,neutral,neutral,neutral,False,False,False
@flufairii как же секси скажии,positive,1337310822020870144,positive,neutral,neutral,neutral,False,False,False
@niemalsnoch @veritas_z ну кто ты и кто залина. камон,negative,1222530329229103106,negative,neutral,neutral,neutral,False,False,False
"НЕ НУ ВЫ ВИДЕЛИ ЧЕ ТВОРЯТ???

#NCT127 #Punch
#NCT127_Punch
#NeoZone_TheFinalRound",negative,1262762680416256000,negative,neutral,neutral,neutral,False,False,False
💢Кто и что вас бесит?💢😾,neutral,1310166670640586752,neutral,negative,negative,negative,False,False,False
@vova_kovynev @mexelmexel @quintocolumno1 моргалы выколю https://t.co/XcxE9XXzd9,negative,1237800280131076097,negative,neutral,neutral,neutral,False,False,False
самый сильный аргумент educate yourself 👍 используйте почаще 👍,positive,1281210475104043008,positive,neutral,neutral,neutral,False,False,False
Релиз альбома SuperM меня почему-то вогнал в уныние. Ещё больше захотелось увидеть ЕХО всех вместе...,neutral,1309441752303050752,neutral,negative,negative,negative,False,False,False
"@J3EhcJjfgGsGQ83 @M_Borzykin При чем тут удар в лицо. Он не играл в мяч, умвшленный удар по ногам.",neutral,1287308733069090817,neutral,negative,negative,negative,False,False,False
@vassural Молодцы кубинцы. А мы их в 90ых предали.,positive,1308688149124648961,positive,negative,negative,negative,False,False,False
@FSITBS видимо да 😔😔,negative,1338440754931363842,negative,neutral,neutral,neutral,False,False,False
"- Рабинович, вы уволены!
- Я же по паспорту русский!!!
- Так мы уже уволили десять евреев, надо же нам уволить хоть одного русского.",positive,1216047671712108544,positive,negative,negative,negative,False,False,False
"/закрывает глаза, чтобы не видеть кусочки спойлеров/",negative,1217742275360559105,negative,neutral,neutral,neutral,False,False,False
@anatoliisharii А надо было как серб перед трампом ?,negative,1305961369213304834,negative,neutral,neutral,neutral,False,False,False
"@polsan91 наездник, может,сразу лошадь",negative,1250664831281254406,negative,positive,neutral,neutral,False,False,False
"@__whitelies__ вот поэтому я говорю что 
✨мужчины это мусор✨",negative,1293900559951360000,negative,neutral,neutral,neutral,False,False,False
"Еееее, бессонные ночи в компании упоротых видосов!",positive,1307503451195179009,positive,neutral,negative,negative,False,False,False
Получил в глаз даже от кота.,negative,1332929540134473728,negative,positive,neutral,neutral,False,False,False
@spring_time_may @packet_of_juice Моя мама тоже не любит пельмени. ;),negative,1271361343342469120,negative,neutral,positive,positive,False,False,False
@Youdisobeyorder Все ладно извени не злисб на меня....,positive,1295916363421122560,positive,neutral,neutral,neutral,False,False,False
"@Kira_Rocknrolla Ты знаешь, а я успел-таки за него напиздячиться",neutral,1212469640993165318,neutral,negative,negative,negative,False,False,False
ууууу су ка почему молоко так быстро остывает😡😡,negative,1234068637239173120,negative,neutral,positive,positive,False,False,False
"Скучаю каждый день, что мы не видимся",positive,1281290225583566850,positive,negative,negative,negative,False,False,False
@annika_zu Я надеюсь что у меня просто квартира кончится хд она д маленькая хдл,neutral,1245243726919843840,neutral,negative,negative,negative,False,False,False
@Yu_gemsa Слишком громко,negative,1234150426175582208,negative,neutral,neutral,neutral,False,False,False
@MatchTV Там же Малиновский щас в порядке полном...),positive,1295427903186964481,positive,neutral,neutral,neutral,False,False,False
"интересный факт: смысла в клипах тхт больше, чем в твоей жизни",negative,1277272283678216192,negative,neutral,neutral,neutral,False,False,False
"В последнее время мне достаточно просто подумать о имени Джисон, чтобы начать улыбаться и смеяться до нехватки воздуха🥺🥰🌸",positive,1267000722597519361,positive,neutral,negative,negative,False,False,False
ммм щас бы случайно передознуться,negative,1291563275663155206,negative,neutral,neutral,neutral,False,False,False
"Я попала в пиратский би тикток
👁️👄👁️",positive,1305051754694938625,positive,neutral,negative,negative,False,False,False
"@vits2014 Эээ, как бы мы сами себя вытащили. И за «блага» мы как бы платим бабло, а не сидим на социале.",neutral,1297097252952047618,neutral,negative,negative,negative,False,False,False
Так хочеться😊 https://t.co/S1bFwJHl5E,positive,1339121343690907648,positive,neutral,neutral,neutral,False,False,False
хм а это идея,positive,1334228499314454529,positive,neutral,neutral,neutral,False,False,False
Я не смогла купить серьги с черепашками 😭,negative,1276058385029517312,negative,neutral,positive,neutral,False,False,False
"@AgMirych @ks130862 штопор реально кайфовая фигура, петля Нестерова --нет, а штопор--да!",positive,1304451788867657728,positive,neutral,neutral,neutral,False,False,False
@SynPapin Нехило заморочился.,neutral,1216410466408390657,neutral,negative,negative,negative,False,False,False
@Voljanin3_0 Почему ты не можешь ответить на вопрос? Он же простой. https://t.co/lFRxGtAsU5,negative,1318609368384966657,negative,neutral,neutral,neutral,False,False,False
@makuhaze ЧТО ЬЛЯТЬ???? МАРИОЛА????,negative,1274656090769235973,negative,neutral,neutral,neutral,False,False,False
@moyshasheckel5 @Graf_CbIP Может вы оба ещё и трусы не носите?,negative,1294010295556472834,negative,neutral,neutral,neutral,False,False,False
@N3TE46GBtRd70zM Я восприимчив к окружающим :с,negative,1270852175825166338,negative,neutral,positive,neutral,False,False,False
"@Zhra2012Zhra @Telemaster68 А они, по ходу, при каждой маломальской проблеме, тянут новые.",negative,1229451631290388480,negative,neutral,neutral,neutral,False,False,False
@ghost_of_a_deer Я мне каково? Как я спать теперь буду? 😑,negative,1315373861328883712,negative,neutral,neutral,neutral,False,False,False
Гулаг Россия вышла на 2-е место в мире по числу заболевших Covid-19 за сутки https://t.co/dqZ9Hggp8l,negative,1251865375307956225,negative,neutral,neutral,neutral,False,False,False
"Интересно, мультик поднимет мне настроение...",positive,1214126286177755136,positive,neutral,neutral,neutral,False,False,False
@kapets_ как можно есть НЕПОСВЯЧАННЫЕ???????,negative,1251177949858017280,negative,neutral,neutral,neutral,False,False,False
@Graf_CbIP @ragnarek66 @athin66 Ты у нас на допросе орать будешь.,negative,1261682823305584643,negative,neutral,neutral,neutral,False,False,False
"Вы знакомы с работами Евгения Винокурова? У меня нет слов, чтобы описать, какие чувства вызывает его поэзия.",positive,1315255254800371714,positive,negative,negative,negative,False,False,False
"@votetopsina ИЛОНА 😩❤️❤️❤️
ужасно жду лета!!!!",neutral,1262823141283332097,neutral,positive,negative,negative,False,False,False
"Еду в такси а тут сначала был игл ай черри, а сейчас бритни!",positive,1297433451587678208,positive,neutral,negative,negative,False,False,False
@mistylyli согласна😍,positive,1290639530526150656,positive,neutral,neutral,neutral,False,False,False
@Miradora @eb_mphyj Что ж сразу бедный? Может ему нравится?),neutral,1330066256561639425,neutral,positive,negative,negative,False,False,False
"@Skuratov69 Позор власти, не оказывающей поддержку артистам!",negative,1265473417156968448,negative,neutral,neutral,neutral,False,False,False
У меня 1000 подписчиков на YouTube! #1kcreator https://t.co/odsHwIOqD0,positive,1223265083234684936,positive,neutral,neutral,neutral,False,False,False
Памятник герою Советского Союза Арнольду Мери осквернили под Псковом https://t.co/qAvXuV7Vc6 https://t.co/HBepeCWJp5,negative,1311601223284523008,negative,neutral,neutral,neutral,False,False,False
@govoritmsk камчатка съела рафаэлку,neutral,1312641104483938309,neutral,negative,negative,negative,False,False,False
"грамотная речь, аккуратный внешний вид, хорошая физическая форма, соблюдение правил медицинской этики и деонтологии, корпоративной культуры.",neutral,1332719057372635138,neutral,positive,positive,positive,False,False,False
Стоп че мне приснилось как родители из моего брата сделали какао и оно было ОЧЕНЬ вкусным?? 😳😳😳,neutral,1288365135661355010,neutral,positive,positive,positive,False,False,False
@SVETALANAKIM Я тоже похудела сама не зная как,positive,1297407623072014341,positive,neutral,negative,negative,False,False,False
@else_java Хаха,positive,1245374886983294978,positive,neutral,neutral,neutral,False,False,False
@prof_preobr А теперь пусть сделает генетический тест и узнаёт кто она на самом деле. :) хотя и так все ясно.,negative,1225026057553743873,negative,neutral,neutral,neutral,False,False,False
"@furious_spartan Жутенько, если честно.",negative,1264194003433553920,negative,neutral,neutral,neutral,False,False,False
"ладно хоть есть время подумать до мая, но я чувствую что сорвусь",negative,1219990820763377664,negative,neutral,neutral,neutral,False,False,False
@lanju_twt МНЕ СТЫДНО,negative,1249775852755267585,negative,neutral,neutral,neutral,False,False,False
@Katerin29721982 уааау💗,positive,1263477268153843718,positive,neutral,neutral,neutral,False,False,False
@YourLovingEnemy сэд только давай не увлекайся прошу мы всем селом за тебя переживаем,neutral,1252165616162820096,neutral,positive,negative,negative,False,False,False
@melksshake Фак офф просто,negative,1286159837701844992,negative,neutral,neutral,neutral,False,False,False
"когда зарядила телефон до 100 дабы посмотреть сериал, но в итоге лежишь и смотришь тикток😍",positive,1299465919010349061,positive,neutral,neutral,neutral,False,False,False
@Blurieface_ В АМЕРИКУ)),neutral,1241239299057729537,neutral,positive,positive,positive,False,False,False
@jopka_ogurca @vulnerablekidd @kinda_eboshiki я недавно нашла седой волос у себя в брови И Я ДАЖЕ НЕ ШУЧУ,neutral,1280202470615064577,neutral,positive,negative,negative,False,False,False
закрываю глаза и вижу шпагат на рыбалочке,positive,1305208198044016640,positive,negative,neutral,neutral,False,False,False
Что должно происходить в голове у человека который в 21 веке называет девочку Лиза или Нина,negative,1295962131691638784,negative,neutral,neutral,neutral,False,False,False
@wwww_wwwww__ майки так подходит этот голос ...,positive,1312825867794632705,positive,neutral,neutral,neutral,False,False,False
"я ж не прекращу это закидывать

#триггер https://t.co/0PVViwZWle",neutral,1235913745123155969,neutral,positive,negative,negative,False,False,False
яяяяя закончила собирать пазлы наконец-то,positive,1288822293830017025,positive,negative,neutral,neutral,False,False,False
Оооо пирожок #танціззірками,neutral,1317919824811622400,neutral,positive,positive,positive,False,False,False
"@21_evak На красивых, поверь.",neutral,1234738190755520512,neutral,positive,positive,positive,False,False,False
@Arinakos Сексотка,positive,1337855972480589824,positive,neutral,neutral,neutral,False,False,False
@nyuta_twttt шок,negative,1306853506024910850,negative,neutral,neutral,neutral,False,False,False
@vesti_news @tvrussia1 Зулейха ссыт в глаза,negative,1249721217730383872,negative,neutral,neutral,neutral,False,False,False
@TaLa_0402 @matreshka_07 Ирис 👍,positive,1264124738684825600,positive,neutral,neutral,neutral,False,False,False
