label,text
neutral,"#я уже студент))
"
neutral,"Вторая часть видео с Индии.
Все кадры не постановочные, сняты за два вечера на пляже Гоа, Арамболь.
И снова, никто из героев не подозревает об этом видео, хотелось бы найти хотя б девушку, которая поет :), думаю, ей будет приятно."
negative,ты пиздень че не в школе?)
negative,вот и я говорю! мясоедство - от лукавого!!!
negative,"Не знаю как в других районах Харькова, но на Салтовке уже с утра и до 16:00 примерно отключают горячую воду, т.е. с крана горячей воды течёт холодная вода. Видимо экономят на газе. 

Сегодня в который раз гривна обновила исторический минимум по отношению к валютам.

Ждём зимы..."
neutral,До конца света осталось 29 дней........
negative,удалила ферму - это стало похоже на зависимость
positive,Мои панкейки ...для моих любимых друзяшек
neutral,какая  линия ?
negative,Мелкие пакостники!
neutral,Это норма.
neutral,"Государственное агентство Украины по вопросам кино отказалось выдать разрешения на показ российских кинофильмов «Белая гвардия» и «Поддубный».Михалков заметил, что просьба прокомментировать подобные действия украинских властей, ставит его в странное положение. «Как можно комментировать те или другие решения полуграмотной, дорвавшейся до власти челяди, — спрашивает председатель Союза. — Как можно комментировать обоснование для запрета картины о великом русском борце Поддубном желанием защитить достоинство и честь украинского народа. Неужели непонятно, что для того, чтобы защищать чьи-либо достоинство и честь, защищающие сами должны иметь и то, и другое»."
negative,"А он заставлял меня ревновать...каждый день...обманывал часто...я психовала...переживала,мы ругались...всегда находился повод...он часто обо мне забывал,прикрываясь постоянной суматохой..уежал на долго...я скучала..звонила,писала..и снова наталкивалась на какое-то его безразличие..потом я начала привыкать...он продолжал делать мне больно...сам не понимая,что с каждым днем я к нему  холоднела...он все переводил в шутки...я же понимала..мне стало слишком похуй...он извинялся....я прощала...а вскоре я ушла...и ""НАС"" не стало...† делать мне больно...сам не понимая,что с каждым днем я к нему  холоднела...он все пере"
neutral,Русалку увидел)
positive,"Погода у нас идеальна. 
От пятнадцати до двадцати градусов, легкий дождь, облачность и солнце поочередно. Хочу так до конца лета..."
positive,"[id124868557|Анжелика], да конечно эта фотка... кайф)"
positive,вот первая ниче еще)))
neutral,"И чем становимся мы старше, тем не понятней, как жить дальше."
neutral,"vk.com/fotokubiki#740724
Мне кажется тебе бы подошел такой фотостатус:"
positive,"Хочу нежности, цветов, шоколада и секса, пошло, зато честно"
positive,Все заебца!!!
neutral,мясной ваще)
neutral,Для пополнения твоей коллекции ))
positive,"Мы делаем весеннюю смену нашего робото-программистского лагеря на этих весенних каникулах. Если знаете ребят или родителей ребят, учащихся в 8-11 классах (а может и младше) — расскажите им! У нас офигенно."
positive,Как хочется проснуться утром в один прекрасный день и знать что у тебя всё сдано и тебе не нужно никуда идти.
neutral,Подарок для тебя! 
neutral,У нас своя атмосфера.
positive,"не знаю как те, но мя прёт трек чета)"
neutral,как домой то попал?
positive,выходные начинаются ......)))))
neutral,"Клёвое слайдшоу из альбома «1111» под музыку ОЧЕНЬ красивая песня (медл) - свадьба. Picrolla:
►"
neutral,у нас с тобой проблем с экзаменами не будет ;)
neutral,Немного переработал демотиватор))
neutral,"Сегодня смотрела одну программу и там девочки с крыши бросились)
И люди решили что они убили себя из за однополой любви,потому что у них сп в контакте стояло)аххаха"
neutral,"[id1036487|Станислав], и айфона хватит"
neutral,Если конкуренты снизят сильно цену и уронят качество.
neutral,"Да, я обожаю флирт, я люблю улыбаться всем, слушать комплименты, но знай, я никогда не смогу изменить тебе..."
positive,гитааааркаа)
neutral,вот так культурно начиналась пятница у Алёны ....16.12.2011
