text,label,id,y_true,pred_classical,pred_bert,pred_hybrid,classical_correct,bert_correct,hybrid_correct
@boglaid ОНА ВЕРНЕЕЕЕТСЯЯЯЯЯЯЯЯЯЯЯ,positive,1295324266112614400,positive,negative,positive,negative,False,True,False
"@pineorangene оль, это бан 🥴",negative,1286731395512008704,negative,negative,positive,positive,True,False,False
@meduzaproject Пусть земля ему будет Крымом!,negative,1251495588698480641,negative,negative,neutral,neutral,True,False,False
@Umfcsamregion ну вот и дождались. спасибо.,positive,1252283983611789313,positive,positive,neutral,neutral,True,False,False
@GoretcNew и несёт её очень часто.,negative,1259111995963514880,negative,negative,neutral,neutral,True,False,False
"@vladsubbotin крутая мышь, но мне не надо столько",positive,1291096554502344705,positive,positive,negative,negative,True,False,False
Это ну тоже так к слову))),neutral,1341654460045668352,neutral,neutral,positive,positive,True,False,False
БЛИН СЕГОДНЯ ЖЕ #HappyBoyfriendDay 🥺🥺🥺 https://t.co/PBjWv93uXu,negative,1312389974738833414,negative,negative,positive,positive,True,False,False
@rostyarb Я могу даже особый патриотический набутылочный поклон!,neutral,1318161920046911492,neutral,neutral,positive,positive,True,False,False
@jenyapoly @tvrain мы и с украинцами были одними народом...,negative,1304565139899899906,negative,negative,neutral,neutral,True,False,False
"#уджинпердун я решила поддержать, а то фанатики чистят",neutral,1324400708179943424,neutral,neutral,positive,positive,True,False,False
я ухожу. она чигукер,neutral,1231248294963269637,neutral,neutral,positive,positive,True,False,False
"@leaderguard НАМ ТУПО СЕКТА НУЖНА УЖЕ, АЛЛО!!",negative,1296308044314431488,negative,negative,positive,positive,True,False,False
@hideandseekl всё ЭТО ПРАВДА БЫЛ ПОСЛЕДНИЙ,neutral,1230567395841888256,neutral,neutral,negative,negative,True,False,False
ЗАДУШИ МЕНЯ ЭТОЙ ПОВЯЗКОЙ https://t.co/SjcJQRS4tc,negative,1281877067454349312,negative,negative,positive,neutral,True,False,False
"Только что узнал, что в конце первой части сумерек, в титрах, играет линкин парк. Извините, но это культурный шок",negative,1260732561791365121,negative,negative,neutral,neutral,True,False,False
