text,label,id
@YELLEZ @WylsacomRed Почему бы просто не купить себе домой облако за 15 тысяч и больше никогда не вспоминать об iCloud,neutral,1215652526319722501
"посмотрите кто-нибудь ""импровизацию""..
я хочу кидать артонов хоть кому-то, пожалуйста ╥﹏╥
они же такие милые и новогодние..((",positive,1341141182093668352
@robodeacon зашел сфоткаться с кастом тени и кости никто не знает кто он вообще такой,neutral,1234077503993581569
"Моя оформа: /меняется на чёрно-белую/

Моя серьезность, и опасный вид в твиттере: 📈📈📈📈📈📈📈📈📈📈📈📈📈📈📈↗️↗️↗️↗️↗️⤴️⤴️⤴️⤴️⤴️⤴️🆙🆙🆙🆙",neutral,1326075120465702912
сижу в такси рядом ползает паук няшка,positive,1276191130535821315
"@KukuruzaLeon Круто, всегда чувствовала себя на 11",positive,1310507222993178624
"«Я так стар и спокоен… что желаю вам счастья»

Тексты Михаила Жванецкого за 2020 год в «Огоньке» https://t.co/p93aypgL5e",neutral,1325865845680173056
@_YoNg_PrInCeSs_ Я тоже не пошла ибо так же подумала как ты))),neutral,1227106361051361280
@never_go_crazy Да не это не мое я пробовала,negative,1314497574750089216
"Ты лучше голодай, чем что попало есть. https://t.co/cDSIRNqPOK",negative,1273529425200545792
Россия вошла в десятку самых зараженных коронавирусом стран https://t.co/xx500UsYWj,negative,1251533912028991488
очень люблю... https://t.co/xbdK8qnqUL,positive,1234821217011535873
@frgpx поддерживаю данную мысль.,neutral,1247982359938576386
отработала смену щас поем и лягу спать,neutral,1315568485406248960
"@Fishpicka1 пхпх ему так теперь всю жизнь ходить?? а арт чудесен, мне очень нравится свет и эмоции",positive,1215056951937245185
Я создала нас ^^ https://t.co/Cr3i35Wbrr,positive,1291126896093208576
@lovelywoowo блин ксюх переводись на программирование зачем тебе этот японский,neutral,1321795420440449024
УМЕРЛА https://t.co/ziOQPszFqT,negative,1312807521913131014
читай - https://t.co/7wxx4baKcz?,neutral,1270379049941164032
@17O8cc с вашими детьми ты хотела сказать...,neutral,1228285795112488960
Данни открыл ворота в ад😂😂😂😂 https://t.co/YueX1l2FO2,neutral,1240003430581710848
"Фермеры в Таиланде выбрасывают фрукты, так как не могут продать их https://t.co/6YMZDYcFw0 #Паттайя #Таиланд #Новости",negative,1249955972916875264
@mbambandee И даже не в меня. Эх,negative,1245108993263120389
@liaaakimm так красиво🥺🥺,positive,1324329899956539393
"@valeriasmitko - ДАВАЙ 7 РИНГС ЗАЧИТАЕМ
- ЧТО
- НУ РЭП
- ХОРО... У У У?",positive,1215947780151304194
И бесстрашная,positive,1311154727065878528
карантин везде https://t.co/10gMRLJddE,negative,1266055175506145280
завтра к 11👍🏻,neutral,1300347855316623360
Как думаешь как легче сдохнуть? Жить в позоре или вылететь из окна?,negative,1218516535498760193
@monteKlever @yandexmaps В регионах 2gis очень крутые.,positive,1223715761178468355
@h0biswifeu какого хуя саш,negative,1230420704253956096
@I__love_Yoongi_ @tokyo_redf ну матик это хуйня ебанная,negative,1324298807555883008
"Вы знали что я армянка ,знайте...",neutral,1230714519459991555
нравятся эти крысиные хвостики вместо прядей видимо я неосознанно взяла за референс свои волосы😐,neutral,1261027958208299008
"@max_katz Поэтому нужно отдавать себе отчёт что после 1 июля маловероятно, что что-то изменится. Главное не разочаровываться",positive,1272364344018456577
@rodtignis Теперь никуда не отпущу моего котенка https://t.co/URDWUXEemA,positive,1261461066237665280
иногда думаю что некоторые боятся ссать и срать слишком громко и думаю что меня не так уж всё и плохо в жизни,negative,1301561762416930816
"@natusiis как их можно хейтить, буквально лучший знак...",neutral,1292699160295202822
@_crack_of_dawn_ А потом курочка разозлилась и пожарила тебя?,neutral,1235607137319038976
БЛЯЯЯЯ РЕАЛЬНО 13 ВЕРСИЙ????,neutral,1294130139400482816
@Semionych Нет я https://t.co/SDuMOtnH4m,neutral,1330529110628691969
@readmanhwa флуд в твоих реплаях это нечто выходящее за рамки человеческого сознания римчан ........,negative,1292863375685431297
"@kristinkkalol сенд твит 
он просто ребёнок такой уву ну и ты тоже https://t.co/WjUCz2Dmlp",neutral,1263977829013827586
"@Kineli_Desu Ладно, меня уже чём-то погнало, звиняй.",neutral,1299766159894605825
@nonalarum у меня даже наоборот случается иногда (:,neutral,1318869624948219904
"Заипали млять я пишу тебе, хмырь, хули ты отвечаешь другим в сраном чате АААААА тушите мою жёппу",negative,1326623060158509058
"Программиста Александра Литреева, арестованного по делу о наркотиках, задерживали по заявлению анонима – МБХ медиа https://t.co/pEpSHOP9VM",neutral,1233236587997204481
@PoklonskayaNV Телеграмм же заблокирован в России,neutral,1229106842707615746
4 сентября я официально перестану существовать и умру,negative,1300027267884748800
@Nik15728488 @mrgrig6 Сынуля достойный продолжатель своего отца. https://t.co/PYsKIlXUYS,positive,1307208327387115520
@heartvshramah себя?,neutral,1280969780795781120
Валерий Соловей: «Можно только неба кусок…» https://t.co/ux6PoNWYX5 https://t.co/96J8DEM6lY,neutral,1336889923639631873
@noaiirr @aestheticjkkkk ВЫШЕЛ,neutral,1274406391252496390
"@porn_gooki_ Спасибо, я теперь тоже хочу в час ночи пюрешку с ягодным вкусом",positive,1309949430880243712
"@fuck_off_blyat тебе это не понадобится, правда",neutral,1316102500026646539
"@kotictwoy Так, я уже который раз о нем слышу, надо посмотреть.",positive,1318250537310183424
смотрю видео маленьких котиков в инстаграме,positive,1216455433533186050
Сонный,neutral,1299724166514368513
@EdWolkov @196yralo4ka @zaikaorit247 @kompolk @ValentinaShim У тебя телефон в кармане. Функционал которого в сто раз круче чипа.,positive,1257257639630835713
Теперь мы похожи на парочку из интернетов ? https://t.co/CMsjyHoxQZ,neutral,1223541865347264514
"Во Франции запустили сайт, разоблачающий русофобские вымыслы https://t.co/3knrPxiKcM",neutral,1220775730239492096
@evideviii желтая пресса,neutral,1314989059115290631
@miss_jenniekim Увууу как милоооооооооооо 😢💗💕💗💕💕💗💕💗💕💗💕💗💕💗,positive,1221465697450188800
@Deadpool71177 Справа 😍,neutral,1311803090954321922
"@stanixer Ахахахаха , видимо святой дух не слабо пошалил",neutral,1271445690812706819
@saduglymad Я даже не знала что есть такая больница в бишкеке 🤡 хотя я в принципе от жизни города отстала,neutral,1275178197722726401
@Shadow_Tche вот так политики отвечают,neutral,1243929529812422657
@wsratyu Ты заебал постить красивых мужиков...,negative,1259272587454054400
"потом будет поздно что-то понимать,поэтому нужно ценить сейчас🥰",positive,1281924479879446533
@whereisitmar нет ты,neutral,1339268173674254337
@SatanHwang да,neutral,1292532927432097798
"лето мое лето, я жду тебя🥺",positive,1248968935774531584
Bloomberg: «Роботы догоняют людей по количеству рабочих мест» https://t.co/RfjxZpljC8,neutral,1222793987393716224
"Записали ролик. 7 минут. Следующий раз с товарищем Романом, минут 20 поговорим о современном обществе.",neutral,1298547714586750977
"Мои самые неземные,лучшие, любимые друзья❤️ образец семьи,дружбы и всего самого светлого что есть в людях. Люблю очень!",positive,1256233214416506884
в общем девочки эта версия макияжа вообще не для стрессовых ситуаций https://t.co/Ctb9sRXjPt,neutral,1217534485350223873
@Ivan_Makki @Mosfilmovskiy Провославным людям делить нечего,neutral,1316633859623133184
Русская интеллигенция скоро почувствует себя в положении продавщицы конфет голодным людям.,negative,1237647322273767429
Окна ПОБЕДЫ! https://t.co/Q2CaVTtUTp,positive,1259444377778376705
"@Daria_Olegovna Ля, да девочка бомбитта, ух я б ее сексуально объективировал бы",positive,1316299628091002880
@Ieokliesen Я не уверена что готова к этому...,neutral,1259244993157443585
"если бы я писала дневник, это была бы самая тоскливая биография, что вы когда либо читали",neutral,1330474324604628998
@kotsuri_000 всм блять зачем,negative,1317852585919942662
@Rudeti @sidelnikoff @konstaksenov А что у нас прорывного в цифровой экономике?,neutral,1291691113850470401
Когда там уже альбом гатов придёт 🥺🤲,neutral,1337668285781962753
@GolyDovolen И гандон клонированный,negative,1287047776078110720
МОМОЧКА ТАКАЯ КРАСИВАЯ ЧУДЕСНАЯ 😭,positive,1255452096624758785
@Arinazam88 ну и красопетки 🥰,positive,1305419712592064517
@ch3rryky0in аааа 😭 ну тогда попозже,negative,1297803552786612226
- ууу оо революция глаз моих ее https://t.co/y2IQtqScDk,neutral,1308098262231126022
Кени Уэст,neutral,1259253272705142784
@censor_net Люди вынесут их от туда.,neutral,1236220369729699841
"Смешно,но с какой-то частью из всего этого у меня реально присутствует 
Хочу уже не первый месяц сходить к психологу https://t.co/OB3I1THxoc",neutral,1339162355591155718
"На моей аватарке-самый лучший мальчик и парень,на которого у меня краш уже как 3 года
Куро,лублу тебя :"""""""")🖤🖤🖤🖤",positive,1301602723977191424
Мохаммед Дауд выпал из строя до конца сезона - травма. https://t.co/t4PeCfViT0,negative,1266337955448344576
@nmbrellv А ЧТО ЕСЛИ ЭТОТ ТВОЙ СОУЛ ПОДУМАЛ ОБ ЭТОМ ЧТОБЫ НАМЕКНУТЬ ЧТО ТИПА ВСЁ РЕАЛЬНО И ЭТО НЕ ПРОСТО АУШКИ ТАМ ВСЯКИЕ АААААВА,neutral,1282371299076190209
с ней какие-то конфузы происходили? она нормальная или нет? https://t.co/cgbXkdKdqv,negative,1250332780812091394
до кб 1:30 предлагаю пойти переслушать всю дискографию скиз.,neutral,1273155972798840835
@AKuznetsovLv @StirnaGun Например @sigulda_aizrauj,neutral,1271519527315083264
@jenjilia Эх,neutral,1315417385629818882
@kipolki блять почему вы такие милые я заплакала какие же вы маленькие обе,positive,1330855544899383300
лучше бы я не знала о существовании новеллы тугезер,negative,1259081566296440832
"Закрыть все открытые приложения на планшете Samsung Galaxy Note 10.1, модель GT-N8000. https://t.co/EXQpj0pL93",neutral,1320277673780957184
"@latiniano За ним стоит Кремль это 100%. Продолжит политику Путина, для украинцев нет никакой разницы",negative,1238750512289284096
"@NiCh_Aer в этой жизни ты либо волк либо не волк, ауфффффф",neutral,1277314679707258881
"@Drag_GD Зная их, они могут все.",neutral,1293187977074507780
@severuselorense Ммм...почти как у меня оценки),neutral,1334132395214299138
@p_porubova Понятно почему у тебя доброе утро в 4 вечера,neutral,1251005022868996098
обычно наоборот конечно но всё равно ахаха,positive,1315232962078597120
@just_glambert_ Покажи мемес,neutral,1253957234096250880
"@volkova__v Есть старинная поговорка: ""Рыжий да красный - человек опасный"".",neutral,1301475036759547909
@verkinchmo Бэнээнщик,neutral,1330161295304384512
@peachiminiie И ты старый,negative,1234705424844230656
@1_am_deviant Земля тебе пухом..,negative,1242854227736756224
"@Destiel_Lover Да... Мне тоже...
Кас вернётся...
Он вернётся...",neutral,1325726603163414528
Я ИХ НЕНАВИЖУ https://t.co/dtbCayrSJt,negative,1311062062274097153
"Пьём вино, встречаем закат, слушаем мою любимую музыку. Идеально. Я влюблена в этот день, в эту жизнь.",positive,1292145398937726982
"В Росприроднадзоре рассказали, что делать при укусе гадюки https://t.co/iGV4j48y98",neutral,1291153290848358401
@dw_russian Вот эти бамболейло. 🤗,neutral,1214803603376033792
От куда то катасонова снова в твиторе появилась...🙄,neutral,1240703602529714176
И это снова он ❤️❤️❤️❤️,positive,1263170060580990976
яяяя хочу сдохнуть,negative,1312434853787447298
все надо на работу бежать,neutral,1224640437438373890
"@NMBR78 Так в чем проблема взять дешевый народный mx500 на 1TB, а через годик пересесть на nvme 970 eco plus?",neutral,1226939134121578496
@mefi_me ты прекрасна!!,positive,1238083290818662406
я выгляжу так согласитесь это прям непорядок https://t.co/4ezrDrCL5D,negative,1262372522051411970
@sweaterww я ебусь только с этим делом и не говори никогда о чем ты думаешь,negative,1340845877909438464
@dubitsa78 Я уже на первой неделе назад просилась😩,negative,1248555197044944896
В РОТ НЕ ЕБИ НА ТОПОЛЕ ТРИ,negative,1336601414215331842
Под Новосибирском браконьер 2-километровой сетью выловил рыбы на 3 млн рублей: https://t.co/nn9KpQV3RO,neutral,1287807985285320704
@avaldare ты чего удумала?,neutral,1341681664284618753
КТО В ВАШЕМ ОТП? https://t.co/m6hmRq17NL,neutral,1304534072706961410
@bazabazon Видимо громко делили.,neutral,1223312835368955905
@falcocatboy мы любим тебя,positive,1341820667705090056
всем привет я вика и я шестая участница группы блэкпинк.,neutral,1330164290058399744
@cherry_babe__ я буду ходить с ним в спортзал😍😍😍,neutral,1280228978599645184
"Идут своими заглавками спасать кпоп индустрию
https://t.co/oUwX0mTARh",positive,1327518401439408129
когда очень хочется сменить форму и тебе скучно,negative,1229043093489508353
"@no_boobs_ Она обожает Макара просто, прям счастлива))",positive,1322275974453612546
