text,label,id
Помойму я вкрашилась в Чимина🤧 https://t.co/t2uZTS7NH2,positive,1282311169534038016
@namaskaramsaroo Мотоцикль,neutral,1272864221202530309
Михаил Мишустин: меры по борьбе с коронавирусом в России были своевременные и правильные  https://t.co/bYMCUoZDMk,neutral,1296860899739947008
ну что пойду чекну фоточки,neutral,1287678712612364288
@buybread_ я не с порядке!!!!,negative,1335130757044563971
@AyupovRustam Вааа 😍😍😍,neutral,1290994553202380800
"@well_syxjker77 да, кинь телегу пж",neutral,1320294157399838721
"@ange1flyhigh В следующий раз буду до победного ее закрывать
Пожелайте удачи!",positive,1215370396465291267
@ru_rbc доллар по 30 сделать не хотят значит,neutral,1337179917788868613
"Вакансия: Работа на дому для мам в декрете, домохозяек. ... https://t.co/yNptk5wjSE",neutral,1251869120829755398
"@LimitaVIP Удивительный гiмн...
Удивительно, что пока ещё не сдохла Украина.",negative,1253799540848762887
я срала на эту биологию,negative,1339418979887173632
"Помимо Алины, у меня ещё радость...

ГЕМОГЛОБИН ПОВЫСИЛСЯ",positive,1332289032160751616
"Пиздец чё вообще было, чувствую как будто меня жизнь ТАК помотала, прошлые сутки как в тумане https://t.co/FVbCAbbfZd",negative,1286564487374544897
"зачем мне спичка????
чтоб зажечь огонь в твоих глазах )))",positive,1262165906450452481
@volhelmut а если не нравиться?,neutral,1286219224873078785
Адвокат ответил на сообщения об иске на 40 миллионов рублей к Ефремову https://t.co/8CbHMD0TpW,neutral,1282182307919650818
@mycravatundone это на самом деле очень круто,positive,1334947965048414211
"Хочу сказать что-то приятное, но получается ""иди нахуй, еблан противный""",negative,1220748047845601280
"мне 17, у меня.....

так, стоп блять, какой 17, света, окстись, тебе уже полтора месяца как 18",neutral,1266144589653704704
"@comrade_wolgast Ну все сука, ты огребаешь",negative,1276908541064904708
Темное прошлое патриарха Кирилла: как владыка стал миллиардером — Инсайд... https://t.co/aThO0KgaxB через @YouTube,negative,1237037076215971840
"Сейчас проиграла на укулеле Кукушку. Если кому то интересно, то в ней очень простые аккорды, да и темп вполне лёгкий. А так, было круто.",positive,1233823891216371713
@nuidisudagovno близнецы))) уизли))) переоценены)))),neutral,1303050325079846912
@glavnoe_ne_gay Ну да получается,neutral,1308516547594530821
@loshok_petushok Лезбиянки под этим твитом: 🤔🤔🤔🤔🤔🤔,negative,1287089391937216512
Класс.......спасибо за доставку  Galaxy Buds BTS в Украину....поиски папика отменятся https://t.co/iKmT7L397x,positive,1272373198198358016
@wsvrl Бля паладины же неубиваемые,negative,1214787472074444801
вы с отцом сделали из меня ментально инвалида.,negative,1303572281046827008
"@Serj2778 @tass_agency Это точно!👍👍👍
https://t.co/mN5r20pMyR",positive,1248171963484459008
"у нее пока нет имени , но я уже люблю ее 

#мойтруддолжныувидеть #ос #OC #sketchbook #sketc #клоун #Clown https://t.co/11PVEHiR9C",positive,1243625476347899907
Муд https://t.co/v4jMOKiMOq,neutral,1344208728246116353
"Ой, красивое число https://t.co/PwE5DOxiKh",positive,1245242464430174210
кто мне заплатит за то что я семь минут потратила чтоб узнать что есть три основных типа рифмовки,negative,1248320127273242629
@v_vodki @IamBorodin @Cattiva777 Я даже хз что такое швец,neutral,1307687170094891008
"погодите, при температуре 38 надо скорую вызывать?..",neutral,1307170570249940993
@axstr0 Соболезную https://t.co/pM9npo9dUd,negative,1332609007224299521
"Закроюсь, а потом вскроюсь",negative,1277454991788257280
мне нравится профессия содержанка посоветуйте вуз с соответствующими программами бакалавриата / магистратуры,positive,1248231283521658880
@marygeneralova В моём доме только одно животное(спойлер: я) и оно щас сидит печень готовит https://t.co/e0988EdFnB,neutral,1217098147706691585
"пиздец какой-то, я походу осознанный сон словила",negative,1260936744670617602
В большой семье не без крысы https://t.co/03HbXJqpLn,negative,1331671416706633728
@DoubleObscure Оно само,neutral,1326501060438077443
Разыгрывала 🤣🤣🤣 Я написала валентинку преподу по физике и подложила. Лицо у него было неописуемым))),positive,1313892412188655616
"Теле2 списали 500 рублей , но чтоб их вернуть полностью они не могут )) только 400)
Или заявку оставить и ждать 72 часа жесть какая то",negative,1287901182703341568
@1aeooon ахаха,positive,1307604324202274817
мне нужен гайд как стать интересной твиттерской,neutral,1339004804950069254
@ATEEZofficial ТЫЫЫЫ ДРАГОЦЕННОСТЬ,positive,1318092789515751424
"#horosiren 
близнецы ♊ 23 июня https://t.co/SavhKUyOEp",neutral,1275274754811998208
"@Pedro__Sanchez лучше б со своими выросшими детьми время так стремились проводить. хотя, судя по реплаям не шибко им с вами интересно",negative,1242538207910268930
"@Fopioti Здравствуйте Стас, я не хочу вам пальчики облизывать.",negative,1324931497351131138
@lamaisanala чего я по-твоему добиваюсь?!?,negative,1214650158954295303
@pinkstarlight_ @TeyBatya ханя ты щас гонишь? конечно он в супер м,negative,1252743905810034696
твиттер невероятный потому что вы меня невероятно уже заебали,negative,1265983524194181120
"@AlaQueenofmemes Пиздец
Просто пиздец
Как у филолога, у меня кровь из глаз",negative,1266012372617121793
Поиск по фамилии https://t.co/Vo54LFT9UV,neutral,1330886087825387525
Небушко рисую https://t.co/9T70aspYh4,neutral,1246463208208154628
это буквально я каждый раз когда читаю твиты наполненные любви моих мьюч их биасам https://t.co/p9T6ZhC048,neutral,1268538203453239299
"Раньше было больше друзей
Сейчас я стал одинок, совсем одинок",negative,1331296550786650114
"сидел со своими проблемами с башкой и создавал вокруг себя иллюзию прекрасного мира
зачем и нахуя не понятно",negative,1301269528446406656
почти час ходим ясно чонгука съел божм,negative,1230558617146773506
"Почему ,когда я созрела и готова смотреть сериал ""Чики"" то я не могу найти сайт где могу нормально посмотреть
За чтоооо",negative,1305128967641407493
Всегда рядом в любой ситуации! ❤️ #МедвежонокВинни #disneybaby #disneybabyrussia https://t.co/Y5cX3HoYWe,positive,1242117045254262792
вообще как можно выбирать между монстой и нст блять А,neutral,1246095044798537729
"@lovely_seoul_ васаби... я подумала о реперше квин васаби сначала....,,,,.",neutral,1293558246045880320
@MixGrisha Просто погуглила и выбрала🤷🏼‍♀️,neutral,1262036084340506629
"@jiminshi_ksu О даа, у нее просто божественный голос 😍",positive,1223717954816282625
@wvKaterinawv Напишу в ЛС 👉👈,neutral,1296017412601655296
вот вы просыпалась когда надо было уже выходить я бляьб да и я опаздываю пиздец,negative,1315869841979576327
@clique_TOP1 удоли,neutral,1237392149202661378
